,0
0,Lineage1
1,Lineage1
2,Lineage1
3,Lineage1
4,Lineage1
5,Lineage1
6,Lineage1
7,Lineage1
8,Lineage1
9,Lineage1
10,Lineage1
11,Lineage1
12,Lineage1
13,Lineage1
14,Lineage1
15,Lineage1
16,Lineage1
17,Lineage1
18,Lineage1
19,Lineage1
20,Lineage1
21,Lineage1
22,Lineage1
23,Lineage1
24,Lineage1
25,Lineage1
26,Lineage1
27,Lineage1
28,Lineage1
29,Lineage1
30,Lineage1
31,Lineage1
32,Lineage1
33,Lineage1
34,Lineage1
35,Lineage1
36,Lineage1
37,Lineage1
38,Lineage1
39,Lineage1
40,Lineage1
41,Lineage1
42,Lineage1
43,Lineage1
44,Lineage1
45,Lineage1
46,Lineage1
47,Lineage1
48,Lineage1
49,Lineage1
50,Lineage1
51,Lineage1
52,Lineage1
53,Lineage1
54,Lineage1
55,Lineage1
56,Lineage1
57,Lineage1
58,Lineage1
59,Lineage1
60,Lineage1
61,Lineage1
62,Lineage1
63,Lineage1
64,Lineage1
65,Lineage1
66,Lineage1
67,Lineage1
68,Lineage1
69,Lineage1
70,Lineage1
71,Lineage1
72,Lineage1
73,Lineage1
74,Lineage1
75,Lineage1
76,Lineage1
77,Lineage1
78,Lineage1
79,Lineage1
80,Lineage1
81,Lineage1
82,Lineage1
83,Lineage1
84,Lineage1
85,Lineage1
86,Lineage1
87,Lineage1
88,Lineage1
89,Lineage1
90,Lineage1
91,Lineage1
92,Lineage1
93,Lineage1
94,Lineage1
95,Lineage1
96,Lineage1
97,Lineage1
98,Lineage1
99,Lineage1
100,Lineage1
101,Lineage1
102,Lineage1
103,Lineage1
104,Lineage1
105,Lineage1
106,Lineage1
107,Lineage1
108,Lineage1
109,Lineage1
110,Lineage1
111,Lineage1
112,Lineage1
113,Lineage1
114,Lineage1
115,Lineage1
116,Lineage1
117,Lineage1
118,Lineage1
119,Lineage1
120,Lineage1
121,Lineage1
122,Lineage1
123,Lineage1
124,Lineage1
125,Lineage1
126,Lineage1
127,Lineage1
128,Lineage1
129,Lineage1
130,Lineage1
131,Lineage1
132,Lineage1
133,Lineage1
134,Lineage1
135,Lineage1
136,Lineage1
137,Lineage1
138,Lineage1
139,Lineage1
140,Lineage1
141,Lineage1
142,Lineage1
143,Lineage1
144,Lineage1
145,Lineage1
146,Lineage1
147,Lineage1
148,Lineage1
149,Lineage1
150,Lineage1
151,Lineage1
152,Lineage1
153,Lineage1
154,Lineage1
155,Lineage1
156,Lineage1
157,Lineage1
158,Lineage1
159,Lineage1
160,Lineage1
161,Lineage1
162,Lineage1
163,Lineage1
164,Lineage1
165,Lineage1
166,Lineage1
167,Lineage1
168,Lineage1
169,Lineage1
170,Lineage1
171,Lineage1
172,Lineage1
173,Lineage1
174,Lineage1
175,Lineage1
176,Lineage1
177,Lineage1
178,Lineage1
179,Lineage1
180,Lineage1
181,Lineage1
182,Lineage1
183,Lineage1
184,Lineage1
185,Lineage1
186,Lineage1
187,Lineage1
188,Lineage1
189,Lineage1
190,Lineage1
191,Lineage1
192,Lineage1
193,Lineage1
194,Lineage1
195,Lineage1
196,Lineage1
197,Lineage1
198,Lineage1
199,Lineage1
200,Lineage1
201,Lineage1
202,Lineage1
203,Lineage1
204,Lineage1
205,Lineage1
206,Lineage1
207,Lineage1
208,Lineage1
209,Lineage1
210,Lineage1
211,Lineage1
212,Lineage1
213,Lineage1
214,Lineage1
215,Lineage1
216,Lineage1
217,Lineage1
218,Lineage1
219,Lineage1
220,Lineage1
221,Lineage1
222,Lineage1
223,Lineage1
224,Lineage1
225,Lineage1
226,Lineage1
227,Lineage1
228,Lineage1
229,Lineage1
230,Lineage1
231,Lineage1
232,Lineage1
233,Lineage1
234,Lineage1
235,Lineage1
236,Lineage1
237,Lineage1
238,Lineage1
239,Lineage1
240,Lineage1
241,Lineage1
242,Lineage1
243,Lineage1
244,Lineage1
245,Lineage1
246,Lineage1
247,Lineage1
248,Lineage1
249,Lineage1
250,Lineage1
251,Lineage1
252,Lineage1
253,Lineage1
254,Lineage1
255,Lineage1
256,Lineage1
257,Lineage1
258,Lineage1
259,Lineage1
260,Lineage1
261,Lineage1
262,Lineage1
263,Lineage1
264,Lineage1
265,Lineage1
266,Lineage1
267,Lineage1
268,Lineage1
269,Lineage1
270,Lineage1
271,Lineage1
272,Lineage1
273,Lineage1
274,Lineage1
275,Lineage1
276,Lineage1
277,Lineage1
278,Lineage1
279,Lineage1
280,Lineage1
281,Lineage1
282,Lineage1
